0 + 3 4 t1
1 * 2 t1 t2
2 = t2 _ a
3 = 15 _ b
4 = 0 _ sum
5 label _ _ L1
6 < a b t3
7 if t3 _ L4
8 goto _ _ L3
9 label _ _ L4
10 != b 0 t4
11 if t4 _ L2
12 goto _ _ L3
13 label _ _ L2
14 * a 2 t5
15 = t5 _ temp_s1
16 % temp_s1 3 t6
17 == t6 0 t7
18 if t7 _ L5
19 goto _ _ L8
20 label _ _ L8
21 > a 5 t8
22 if t8 _ L5
23 goto _ _ L6
24 label _ _ L5
25 + sum temp_s1 t9
26 = t9 _ sum
27 goto _ _ L7
28 label _ _ L6
29 - sum 1 t10
30 = t10 _ sum
31 label _ _ L7
32 + a 1 t11
33 = t11 _ a
34 goto _ _ L1
35 label _ _ L3
36 - b a t12
37 / sum t12 t13
38 = t13 _ avg
39 < avg 5.0 t14
40 if t14 _ L10
41 goto _ _ L9
42 label _ _ L9
43 param sum _ _
44 call print 1 _
45 goto _ _ L11
46 label _ _ L10
47 param avg _ _
48 call print 1 _
49 label _ _ L11
